peak_frac,scenario,scenario_label,N_valid,metric,estimate,bootstrap_se,ci_low,ci_high,unit
0.75,S2_High_Conc,High/Concentrated,400,daily_cost,1177447.52921351,2542.7498694548,1172806.17207456,1182286.44134704,currency/day
0.75,S2_High_Conc,High/Concentrated,400,daily_loss_MWh,1467.73961583596,3.07561411121389,1461.65070563351,1474.23919389352,MWh/day
0.75,S2_High_Conc,High/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.75,S2_High_Conc,High/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.75,S2_High_Conc,High/Concentrated,400,daily_vmin,0.991488861684096,0.000255445206692272,0.991005532008412,0.991970014290185,p.u.
0.75,S2_High_Conc,High/Concentrated,400,daily_vmax,1.059999998511,3.7920413011945e-11,1.05999999843597,1.05999999858169,p.u.
0.75,S2_High_Conc,High/Concentrated,400,daily_vviol_hours,588.4925,1.71577736119269,585.1575,591.81,bus-hours/day
0.75,S2_High_Conc,High/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
0.75,S3_Low_Dist,Low/Distributed,400,daily_cost,1223055.13814312,1023.73979118152,1221040.26234028,1224906.48390584,currency/day
0.75,S3_Low_Dist,Low/Distributed,400,daily_loss_MWh,1413.90411982371,1.05893497531282,1411.54448945107,1415.7665278765,MWh/day
0.75,S3_Low_Dist,Low/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.75,S3_Low_Dist,Low/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.75,S3_Low_Dist,Low/Distributed,400,daily_vmin,0.991914259100948,1.26031477896473e-05,0.991892251846058,0.991943817023451,p.u.
0.75,S3_Low_Dist,Low/Distributed,400,daily_vmax,1.0599999984825,5.3177408364289e-11,1.05999999837954,1.059999998583,p.u.
0.75,S3_Low_Dist,Low/Distributed,400,daily_vviol_hours,658.9275,0.548224108025396,657.9025,660.035,bus-hours/day
0.75,S3_Low_Dist,Low/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.75,S4_High_Dist,High/Distributed,400,daily_cost,1177936.31394042,1964.32655957572,1174087.44752688,1181696.16374935,currency/day
0.75,S4_High_Dist,High/Distributed,400,daily_loss_MWh,1403.96207148748,1.37536407650415,1401.1979445935,1406.69752406807,MWh/day
0.75,S4_High_Dist,High/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.75,S4_High_Dist,High/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.75,S4_High_Dist,High/Distributed,400,daily_vmin,0.991814856945064,4.90644831545223e-05,0.99171427510146,0.991909109476985,p.u.
0.75,S4_High_Dist,High/Distributed,400,daily_vmax,1.05999999939127,2.35367266095481e-11,1.05999999934132,1.05999999943345,p.u.
0.75,S4_High_Dist,High/Distributed,400,daily_vviol_hours,652.34,0.957154790543891,650.3425,654.04,bus-hours/day
0.75,S4_High_Dist,High/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.8,S1_Low_Conc,Low/Concentrated,400,daily_cost,1323103.92837521,1345.41970514041,1320290.22501327,1325828.42774,currency/day
0.8,S1_Low_Conc,Low/Concentrated,400,daily_loss_MWh,1545.81218124522,1.31597972364299,1543.21351215361,1548.44009901595,MWh/day
0.8,S1_Low_Conc,Low/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.8,S1_Low_Conc,Low/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.8,S1_Low_Conc,Low/Concentrated,400,daily_vmin,0.993942029495032,2.55213074935784e-05,0.993892092686543,0.993992830091964,p.u.
0.8,S1_Low_Conc,Low/Concentrated,400,daily_vmax,1.05999999912621,3.9152360178921e-11,1.05999999905399,1.05999999920318,p.u.
0.8,S1_Low_Conc,Low/Concentrated,400,daily_vviol_hours,702.7825,0.507416905248004,701.7525,703.855,bus-hours/day
0.8,S1_Low_Conc,Low/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
