trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
598,24,10.6758262,1121451.86237778,1293.61795823163,0,0,0,0,0
599,24,10.9813056,1135155.02179471,1307.30924307505,0,0,0,0,0
600,24,11.8087012,1141250.54789203,1320.60040507412,0,0,0,0,0
601,24,11.0910213,1143781.36253287,1322.93666274377,0,0,0,0,0
602,24,9.9443028,1136834.51448682,1323.38945159992,0,0,0,0,0
603,24,9.8603428,1139959.22791919,1314.37534036573,0,0,0,0,0
604,24,9.3272029,1133941.84672625,1312.66106283712,0,0,0,0,0
605,24,8.8168281,1132754.01788441,1307.94462092669,0,0,0,0,0
606,24,8.564124,1128303.5626641,1300.99480178406,0,0,0,0,0
607,24,8.1870919,1129532.04208862,1309.25729311805,0,0,0,0,0
608,24,8.1495053,1140385.20718456,1324.11588093337,0,0,0,0,0
609,24,7.7000766,1144921.1324641,1315.20024794758,0,0,0,0,0
610,24,7.7625053,1125866.47297037,1302.87466496762,0,0,0,0,0
611,24,7.6039688,1139169.94317826,1317.90507856711,0,0,0,0,0
612,24,7.4057607,1083791.21328168,1272.31260903587,0,0,0,0,0
613,24,7.2790295,1136520.09306896,1302.57131074449,0,0,0,0,0
614,24,7.0547166,1118307.91800113,1291.86805055743,0,0,0,0,0
615,24,7.6898907,1145080.22407984,1321.42931530097,0,0,0,0,0
616,24,8.2711616,1107464.10506741,1279.20791131251,0,0,0,0,0
617,24,8.3892582,1093725.52080245,1272.18239513478,0,0,0,0,0
618,24,8.3468184,1141162.48518951,1320.34364862046,0,0,0,0,0
619,24,8.1925465,1058569.21810205,1254.13461135338,0,0,0,0,0
620,24,8.1048465,1135642.0305326,1319.69025284851,0,0,0,0,0
621,24,8.2745237,1135393.69221811,1313.32238455205,0,0,0,0,0
622,24,8.5881647,1095386.56852784,1266.39810511538,0,0,0,0,0
