N_requested,N_valid,scenario,scenario_label,metric,estimate,bootstrap_se,ci_low,ci_high,unit
1200,1200,S3_Low_Dist,Low/Distributed,daily_cost,1123275.19196792,595.297826959105,1122109.56574676,1124415.21066748,currency/day
1200,1200,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1297.83072097996,0.537222971973764,1296.74062363135,1298.90475409546,MWh/day
1200,1200,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
1200,1200,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
1200,1200,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
1200,1200,S4_High_Dist,High/Distributed,daily_cost,1079265.56180981,1090.04017779659,1077227.18008087,1081405.88538202,currency/day
1200,1200,S4_High_Dist,High/Distributed,daily_loss_MWh,1296.2800550487,0.71728084228408,1294.87215780147,1297.73537735284,MWh/day
1200,1200,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
1200,1200,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
1200,1200,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
1600,1600,S1_Low_Conc,Low/Concentrated,daily_cost,1121507.43768895,642.180446079895,1120209.83758376,1122661.35932006,currency/day
1600,1600,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1305.12027173451,0.541633772933279,1304.02566828994,1306.19584745297,MWh/day
1600,1600,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
1600,1600,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
1600,1600,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
1600,1600,S2_High_Conc,High/Concentrated,daily_cost,1077267.90597823,1331.3532041999,1074639.27061101,1080042.60318417,currency/day
1600,1600,S2_High_Conc,High/Concentrated,daily_loss_MWh,1364.39802084063,1.6061573862246,1361.24257842012,1367.68092760156,MWh/day
1600,1600,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S2_High_Conc,High/Concentrated,wind_curt_MWh,0.178194892249658,0.0571108132567868,0.0724039576196936,0.295144966610619,MWh/day
1600,1600,S2_High_Conc,High/Concentrated,curtailed_hours,0.02125,0.00620313734309279,0.010625,0.035625,h/day
1600,1600,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,1,0.2402242537028,0.5625,1.4375,%
1600,1600,S3_Low_Dist,Low/Distributed,daily_cost,1123237.9114878,486.53122913221,1122272.8576279,1124210.51234872,currency/day
1600,1600,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1298.04058376721,0.450208268235276,1297.15798885337,1298.92595746002,MWh/day
1600,1600,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
1600,1600,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
1600,1600,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
