N_requested,N_valid_pairs,contrast,contrast_label,metric,estimate_A_minus_B,bootstrap_se,ci_low,ci_high,unit
1600,1600,S2_minus_S1,Concentrated: high minus low penetration,LCP80_interaction_branch_pp,5.015625,0.186663239179074,4.65885416666667,5.41145833333333,percentage points
1600,1600,S4_minus_S3,Distributed: high minus low penetration,daily_cost,-44042.3859139236,493.556218064982,-45015.0116631938,-43108.3111194914,currency/day
1600,1600,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-1.16945983998457,0.484614489821272,-2.09003214321748,-0.171797151272003,MWh/day
1600,1600,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
1600,1600,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
1600,1600,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,3.84375,0.135670218714655,3.56901041666667,4.11979166666667,percentage points
2000,2000,S1_minus_S3,Low penetration: concentrated minus distributed,daily_cost,-1933.16330275335,426.259000300476,-2827.47851274878,-1144.71262335891,currency/day
2000,2000,S1_minus_S3,Low penetration: concentrated minus distributed,daily_loss_MWh,6.88938479268122,0.443960947631201,6.03696922672419,7.79956469904077,MWh/day
2000,2000,S1_minus_S3,Low penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S1_minus_S3,Low penetration: concentrated minus distributed,daily_wind_curt_MWh,0,0,0,0,MWh/day
2000,2000,S1_minus_S3,Low penetration: concentrated minus distributed,curtailed_hours,0,0,0,0,h/day
2000,2000,S1_minus_S3,Low penetration: concentrated minus distributed,LCP80_interaction_branch_pp,2.9875,0.191688027769327,2.62291666666667,3.36875,percentage points
2000,2000,S2_minus_S4,High penetration: concentrated minus distributed,daily_cost,-2312.39177260282,784.574440808219,-3860.04403279174,-788.951066628518,currency/day
2000,2000,S2_minus_S4,High penetration: concentrated minus distributed,daily_loss_MWh,67.6350684766813,1.37063003084043,64.8995928706525,70.1670588478501,MWh/day
2000,2000,S2_minus_S4,High penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S2_minus_S4,High penetration: concentrated minus distributed,daily_wind_curt_MWh,0.180546937052634,0.0519350602376246,0.0875753753202917,0.282669035907399,MWh/day
