zone,hour_utc,envelope_Wm2,n_samples,alpha,beta,mean_kt,std_kt,KS_stat,KS_pvalue
Z4_CI,17,461.0,550,0.8606161836486825,0.5712230737351469,0.5644881124038652,0.3095030293415033,0.07745572161744185,0.002569468868706818
Z4_CI,18,271.75,366,1.051149334836582,0.6144911310872428,0.6018384552158899,0.2891485704540081,0.07629961348463965,0.026724783355689063
Z4_CI,19,92.0,166,1.12658276643482,0.5916958445265037,0.6132731796752227,0.2825173870857511,0.20755164550312782,9.476136721495967e-07
Z4_CI,20,0.0,0,,,,,,
Z4_CI,21,0.0,0,,,,,,
Z4_CI,22,0.0,0,,,,,,
Z4_CI,23,0.0,0,,,,,,
Z5_SW,0,0.0,0,,,,,,
Z5_SW,1,0.0,0,,,,,,
Z5_SW,2,0.0,0,,,,,,
Z5_SW,3,0.0,0,,,,,,
Z5_SW,4,0.0,0,,,,,,
Z5_SW,5,0.0,0,,,,,,
Z5_SW,6,116.35,214,1.2790245532049338,0.6605871307624799,0.6242091825341681,0.259654773850808,0.11265013484636821,0.008040240070651988
Z5_SW,7,300.0,433,0.9676405777137814,0.6284660061360707,0.5609632794457275,0.2845433384921702,0.11369902832665635,2.479849439647866e-05
Z5_SW,8,496.0,664,0.7603326923091202,0.6027518346819115,0.5099886562378547,0.3099335333433968,0.09664879690178108,7.519544206577714e-06
Z5_SW,9,678.65,728,0.9841108529044191,0.634274681103077,0.562042753339087,0.2850442414677356,0.11359958472973775,1.2211982681468654e-08
Z5_SW,10,833.0,731,1.140264124171134,0.6173896925276293,0.6166993220817739,0.27265183633828804,0.09505102891239503,3.3661784183249306e-06
Z5_SW,11,942.5,731,1.2437916232662074,0.5872397879392184,0.6559125397787269,0.26440891194198374,0.07606130414265544,0.0003999726803974109
Z5_SW,12,999.0,729,1.2864232397465403,0.5696267193970992,0.6733109431791187,0.26112982849721794,0.07585748240155404,0.0004283550849120706
Z5_SW,13,993.0,730,1.2032122986742242,0.5428867277520876,0.6658853039771551,0.2687783877657794,0.09170019025391318,8.593881529775492e-06
Z5_SW,14,929.2,729,1.1949162365741715,0.5483480578779364,0.6616917866719575,0.2702970911878189,0.08172093378881973,0.00011056128669009492
Z5_SW,15,814.0,731,1.1587817617357359,0.5600772796004387,0.6440078136711516,0.27434594892650516,0.09108770434232788,9.96274165621978e-06
Z5_SW,16,656.6999999999999,727,0.9331200780263621,0.5614673914211026,0.58339880011537,0.303779487701057,0.1007260031243783,7.12131755502896e-07
Z5_SW,17,472.69999999999993,587,0.8537274097602333,0.5569088662615692,0.5739401362069145,0.31387550681382403,0.07251121575679931,0.003954502549928494
Z5_SW,18,276.4,393,1.0142468458245457,0.576474493517194,0.606245578374079,0.2952728322462124,0.08372010654421963,0.007616964376289758
Z5_SW,19,94.5,176,1.7546161274593814,0.699477343170967,0.6923523899711399,0.22275490504297232,0.09929768166498276,0.058006540606618584
Z5_SW,20,0.0,0,,,,,,
Z5_SW,21,0.0,0,,,,,,
Z5_SW,22,0.0,0,,,,,,
Z5_SW,23,0.0,0,,,,,,
Z6_SE,0,0.0,0,,,,,,
Z6_SE,1,0.0,0,,,,,,
Z6_SE,2,0.0,0,,,,,,
Z6_SE,3,0.0,0,,,,,,
Z6_SE,4,0.0,0,,,,,,
Z6_SE,5,0.0,0,,,,,,
Z6_SE,6,132.0,226,1.2869798449879712,0.6460011411700656,0.6343053901850362,0.2577956627416228,0.10942031042886069,0.008222511044099686
Z6_SE,7,314.75,446,0.9830210074253362,0.6137557185665184,0.5746898283925246,0.2878754797827108,0.11067208812895757,3.261146353554213e-05
Z6_SE,8,508.0,713,0.6932008782799461,0.5553772653962911,0.5078393634526399,0.32615447095492467,0.08175912830889764,0.0001357263917991794
Z6_SE,9,690.0,729,1.009522663515501,0.5857597338744571,0.5965593526967654,0.2898730802267821,0.09047243283072115,1.2133094546198662e-05
Z6_SE,10,840.5,731,1.20192574762409,0.5874440582928525,0.645321941535354,0.27114348229076024,0.07663207911689657,0.0003518843308768359
Z6_SE,11,944.005,731,1.2723968803157428,0.5484913102914813,0.6753207321099552,0.2613611864793666,0.08393925610858416,6.271361707279226e-05
Z6_SE,12,995.604,729,1.259444006791517,0.54574710869205,0.6773872652895434,0.2649604873618379,0.08420398867121376,6.0433490754448806e-05
Z6_SE,13,986.5545,730,1.2966295007870392,0.5645981494764285,0.6796970950286738,0.2629011257142303,0.0720015642090604,0.0009776807889682701
Z6_SE,14,916.6,729,1.1557698458348875,0.5486947138348818,0.654926820835754,0.2739103358863531,0.08146969135373744,0.00011741053052282535
Z6_SE,15,797.0,731,1.0906372870344128,0.5579935835017561,0.6305150842677826,0.2814549068483374,0.08582827934419751,3.913778415676153e-05
Z6_SE,16,636.65,728,0.9059611311447339,0.5628417629472859,0.5732468207879845,0.30276054043656764,0.09757955472975671,1.7410561583281422e-06
Z6_SE,17,454.0,569,0.8580032029517034,0.5510221023712124,0.5746040197270116,0.31146057290233503,0.07883365577726176,0.0015981482164867376
Z6_SE,18,259.0,377,0.9719280292551007,0.558302954023082,0.6041668742254949,0.3014342351343987,0.07747771368124551,0.02048473945160983
Z6_SE,19,81.0,166,1.5784918095964344,0.6564381697089693,0.6790652164212405,0.23275467944355133,0.10879522107632933,0.036356280239944305
Z6_SE,20,0.0,0,,,,,,
Z6_SE,21,0.0,0,,,,,,
Z6_SE,22,0.0,0,,,,,,
Z6_SE,23,0.0,0,,,,,,
